pattern,frequency,rule_type,default_score
본인,3224,keyword,80.78688229229871
고객,2056,keyword,76.29003889652958
통장,1941,keyword,75.7147364885127
확인,1476,keyword,72.9776828253138
계좌,1332,keyword,71.9518732017871
부분,1305,keyword,71.74724309836377
때문,1274,keyword,71.50701457592527
은행,1228,keyword,71.13956109566034
사건,1170,keyword,70.65613363597717
일단,1134,keyword,70.34387929915503
전화,1035,keyword,69.43122422819428
금융,1028,keyword,69.36342735834049
진행,976,keyword,68.84486652042783
연락,915,keyword,68.2001636467413
사용,898,keyword,68.0128303447162
대해,856,keyword,67.5343791859778
처리,795,keyword,66.79599185844383
혹시,723,keyword,65.84791392385716
대출,698,keyword,65.4965074223381
가지,675,keyword,65.16193076042964
자금,674,keyword,65.1471269087253
정도,672,keyword,65.11745329644728
번호,669,keyword,65.07277712385012
조사,654,keyword,64.84635235635251
카드,652,keyword,64.81577129276431
명의,651,keyword,64.80044561926653
농협,642,keyword,64.6614472423762
한번,614,keyword,64.21622267806518
피해자,610,keyword,64.15096959171595
사람,583,keyword,63.69900982828227
본인 명의,256,pattern,55.4907608489522
부분 대해,205,pattern,53.27876168789581
명의 도용,204,pattern,53.230099791384085
금융 감독,182,pattern,52.094861528414214
이번 사건,179,pattern,51.92956850890211
개인정보 유출,177,pattern,51.81783550292085
농협 은행,176,pattern,51.76149732573829
개인 정보,170,pattern,51.4166355650266
본인 직접,161,pattern,50.875963352323836
다시 한번,156,pattern,50.56245805348308
통장 개설,152,pattern,50.30437921392435
계좌 번호,151,pattern,50.238805208462765
계좌 추적,150,pattern,50.172798368149245
동결 처리,144,pattern,49.76733742420574
피해자 입증,141,pattern,49.55827057601261
이기 때문,138,pattern,49.34473933130691
확인 연락,137,pattern,49.27253685157205
사건 번호,133,pattern,48.97839799950911
고객 고객,113,pattern,47.36198448394496
때문 본인,112,pattern,47.27387818712341
은행 통장,112,pattern,47.27387818712341
마이너스 통장,110,pattern,47.09530201312334
본인 통장,105,pattern,46.63439094112067
증거 자료,101,pattern,46.249728132842705
정보 유출,101,pattern,46.249728132842705
일단 본인,99,pattern,46.05170185988092
금융 범죄,99,pattern,46.05170185988092
불법 자금,92,pattern,45.32599493153256
하나 은행,91,pattern,45.217885770490405
조사 진행,90,pattern,45.1085950651685
개인 정보 유출,69,pattern,42.48495242049359
명의 도용 사건,64,pattern,41.743872698956366
본인 명의 통장,54,pattern,40.07333185232471
명의 도용 피해자,44,pattern,38.06662489770319
본인 개인 정보,44,pattern,38.06662489770319
서울 지방 경찰청,41,pattern,37.37669618283368
보안 계좌 코드,41,pattern,37.37669618283368
국가 안전 보안,41,pattern,37.37669618283368
경기도 광명시 철산동,40,pattern,37.13572066704308
안전 보안 계좌,39,pattern,36.88879454113936
은행 하나 은행,32,pattern,34.965075614664805
금융 범죄 기단,30,pattern,34.33987204485146
하나 은행 통장,30,pattern,34.33987204485146
본인 직접 개설,30,pattern,34.33987204485146
재산 보험 신청서,29,pattern,34.011973816621555
부분 이기 때문,28,pattern,33.67295829986474
범죄 기단 검거,28,pattern,33.67295829986474
본인 피해자 입증,28,pattern,33.67295829986474
공무 집행 방해,27,pattern,33.32204510175204
첨단 범죄 수사,27,pattern,33.32204510175204
전라도 광주 출신,26,pattern,32.95836866004329
본인 개인정보 유출,26,pattern,32.95836866004329
유출 명의 도용,26,pattern,32.95836866004329
본인 명의 농협,25,pattern,32.58096538021482
자산 관리 공사,23,pattern,31.780538303479457
마이너스 통장 발급,22,pattern,31.354942159291497
중도 상환 수수료,22,pattern,31.354942159291497
가지 확인 연락,22,pattern,31.354942159291497
이번 사건 연루,22,pattern,31.354942159291497
사건 내용 대해,22,pattern,31.354942159291497
